Kabupaten/Kota,Indeks Pembangunan Manusia
Pacitan,71.49
Ponorogo,73.7
Trenggalek,72.47
Tulungagung,75.13
Blitar,73.44
Kediri,75.18
Malang,73.53
Lumajang,70.31
Jember,70.93
Banyuwangi,74.3
Bondowoso,71.22
Situbondo,71.22
Probolinggo,70.85
Pasuruan,72.36
Sidoarjo,82.67
Mojokerto,76.69
Jombang,75.67
Nganjuk,75.24
Madiun,74.81
Magetan,76.77
Ngawi,73.91
Bojonegoro,72.75
Tuban,72.31
Lamongan,75.9
Gresik,78.93
Bangkalan,67.33
Sampang,66.72
Pamekasan,70.85
Sumenep,69.78
Kota Kediri,81.88
Kota Blitar,81.44
Kota Malang,84.68
Kota Probolinggo,77.79
Kota Pasuruan,78.9
Kota Mojokerto,81.76
Kota Madiun,84.51
Kota Surabaya,84.69
Kota Batu,79.69
Jawa Timur,75.35
