Sektor Ekonomi [Investasi],,,,,
,Realisasi Investasi Penanaman Modal Luar Negeri Triwulanan Menurut Sektor Ekonomi - Jumlah Investasi (Juta US$),,,,
,2023,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"1. Tanaman Pangan, Perkebunan, dan Peternakan",435.2,635.6,566.8,308,1945.6
2. Kehutanan,44.3,17.3,15.6,18.7,96
3. Perikanan,12.4,4.3,4.6,4.4,25.7
4. Pertambangan,919.9,1241.4,1326.8,1227.1,4715
5. Industri Makanan,615.4,501.9,638.3,507.1,2262.6
6. Industri Tekstil,114.2,130,81.6,131.7,457.5
7. Industri Barang dari Kulit dan Alas Kaki,190.2,178.4,205.7,208.2,782.5
8. Industri Kayu,54.5,25.2,45.8,32.3,157.8
9. Industri Kertas dan Percetakan,830.6,276.2,1159.6,1164.4,3430.8
10.Industri Kimia dan Farmasi,1068.4,1258.4,1335,1143.3,4805.2
11. Industri Karet dan Plastik,173.5,160,87.7,154.6,575.8
12. Industri Mineral Non Logam,119.6,75.5,161.1,167.2,523.4
"13. Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya",2903.8,2521.4,3253.3,3108.7,11787.2
"14. Industri Mesin, Elektronik, Instrumen Kedokteran, Peralatan Listrik, Presisi, Optik dan Jam",355.4,428.3,429.9,264.7,1478.4
15. Industri Kendaraan Bermotor dan Alat Transportasi Lain,531.7,322.9,425.1,766.5,2046.2
16. Industri Lainnya,69.2,149.1,93.9,70.3,382.5
"17. Listrik, Gas, dan Air",615.5,806.9,819.5,500.2,2742.1
18. Konstruksi,71.9,53.2,120.8,35.9,281.8
19. Perdagangan dan Reparasi,293.4,211.7,306.6,132.1,943.8
20. Hotel dan Restoran,189.1,318.2,120.9,182.9,811.1
"21. Transportasi, Gudang, dan Telekomunikasi",1213.5,1941,1085.1,1375.8,5615.5
"22. Perumahan, Kawasan Industri, dan Perkantoran",569.5,807.8,595.5,601.7,2574.5
23. Jasa Lainnya,569.2,523.6,380.6,353,1826.5
JUMLAH,11960.5,12588.3,13259.7,12459,50267.5
