Sektor Ekonomi [Investasi],,,,,
,Realisasi Investasi Penanaman Modal Luar Negeri Triwulanan Menurut Sektor Ekonomi - Jumlah Investasi (Juta US$),,,,
,2020,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"1. Tanaman Pangan, Perkebunan, dan Peternakan",478.8,188.2,132.8,384.4,1184.2
2. Kehutanan,16.2,9.8,9.6,7,42.6
3. Perikanan,34.7,5.6,2.8,5,48.2
4. Pertambangan,482.7,391.6,569.4,561.4,2005.1
5. Industri Makanan,298.4,504.3,344.9,444.6,1592.1
6. Industri Tekstil,64.9,81.3,75.3,58.3,279.8
7. Industri Barang dari Kulit dan Alas Kaki,52,38.9,85.3,37.8,214
8. Industri Kayu,14,6.4,59.2,5.1,84.7
9. Industri Kertas dan Percetakan,125.8,106.1,116.5,594.4,942.8
10.Industri Kimia dan Farmasi,569.4,346.5,595.4,231.3,1742.5
11. Industri Karet dan Plastik,87.6,58.7,111,34.1,291.4
12. Industri Mineral Non Logam,118.6,50,64.4,15.3,248.3
"13. Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya",1523.8,1326.8,1631.5,1487.1,5969.2
"14. Industri Mesin, Elektronik, Instrumen Kedokteran, Peralatan Listrik, Presisi, Optik dan Jam",127.1,94.6,282,97.6,601.3
15. Industri Kendaraan Bermotor dan Alat Transportasi Lain,74.9,199.3,192,475.7,942
16. Industri Lainnya,13.4,142,109.2,29.4,294.1
"17. Listrik, Gas, dan Air",868.6,1463.1,916.1,1366.1,4613.9
18. Konstruksi,41,101.5,15.6,31.4,189.5
19. Perdagangan dan Reparasi,59.7,178.1,95.7,100.6,434.1
20. Hotel dan Restoran,220.3,48.7,114.9,57.2,441.1
"21. Transportasi, Gudang, dan Telekomunikasi",806.9,648.5,994.6,1130.5,3580.4
"22. Perumahan, Kawasan Industri, dan Perkantoran",602.9,526.2,604.4,457.9,2191.4
23. Jasa Lainnya,121.9,263.4,247.9,100.1,733.3
JUMLAH,6803.6,6779.6,7370.6,7712.5,28666.3
