Sektor Ekonomi [Investasi],,,,,
,Realisasi Investasi Penanaman Modal Luar Negeri Triwulanan Menurut Sektor Ekonomi - Jumlah Investasi (Juta US$),,,,
,2021,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"1. Tanaman Pangan, Perkebunan, dan Peternakan",276.6,208.4,274.9,190.7,950.7
2. Kehutanan,16.9,7.1,8.4,9,41.4
3. Perikanan,5.2,5.2,2.8,4,17.1
4. Pertambangan,508.8,944,891.1,1473,3817
5. Industri Makanan,968.3,533.9,516,319.2,2337.4
6. Industri Tekstil,98,65.1,81.1,67.9,312.2
7. Industri Barang dari Kulit dan Alas Kaki,74.9,112.6,97.8,200.2,485.5
8. Industri Kayu,11.2,16.9,19.2,20.8,68.1
9. Industri Kertas dan Percetakan,123.5,123.4,346,359.6,952.5
10.Industri Kimia dan Farmasi,493.8,324.4,483,355.3,1656.5
11. Industri Karet dan Plastik,59.1,99.6,65.5,38,262.2
12. Industri Mineral Non Logam,84.9,135.3,34.1,72.7,327.1
"13. Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya",1712,1766.4,1475.9,2020.1,6974.4
"14. Industri Mesin, Elektronik, Instrumen Kedokteran, Peralatan Listrik, Presisi, Optik dan Jam",225.6,145.7,181.8,126.2,679.4
15. Industri Kendaraan Bermotor dan Alat Transportasi Lain,597.1,364.1,268.9,271.8,1502
16. Industri Lainnya,25,116,58.7,46.6,246.3
"17. Listrik, Gas, dan Air",597.8,848,497,995.8,2938.6
18. Konstruksi,5.3,11.6,53.7,22.7,93.4
19. Perdagangan dan Reparasi,77.1,202,70.3,114.4,463.8
20. Hotel dan Restoran,75.9,112,107.4,136.9,432.2
"21. Transportasi, Gudang, dan Telekomunikasi",843.4,916.4,617.2,782.1,3159.2
"22. Perumahan, Kawasan Industri, dan Perkantoran",535.8,738.3,511.3,401,2186.3
23. Jasa Lainnya,236.5,201,409.3,342.9,1189.7
JUMLAH,7652.8,7997.5,7071.6,8371.3,31093.1
