Sektor Ekonomi [Investasi],,,,,
,Realisasi Investasi Penanaman Modal Luar Negeri Triwulanan Menurut Sektor Ekonomi - Jumlah Investasi (Juta US$),,,,
,2019,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"1. Tanaman Pangan, Perkebunan, dan Peternakan",217.1,288.3,226.2,215.3,946.9
2. Kehutanan,0.4,4.7,17,14.2,36.3
3. Perikanan,3.9,34,4.4,11.8,54.1
4. Pertambangan,614.6,672.4,285.6,683.7,2256.3
5. Industri Makanan,383.2,323.5,296.1,269.3,1272.2
6. Industri Tekstil,30.9,83.1,51.8,73.1,238.9
7. Industri Barang dari Kulit dan Alas Kaki,91,14.7,43.1,39.4,188.3
8. Industri Kayu,3.7,23.3,19.8,48.1,95
9. Industri Kertas dan Percetakan,18.1,69.1,314.2,44.7,446.1
10.Industri Kimia dan Farmasi,314,391.1,315.5,465.5,1486.1
11. Industri Karet dan Plastik,106.6,95.1,46.9,43,291.6
12. Industri Mineral Non Logam,126.3,127.9,20.3,200.5,475
"13. Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya",611.6,857.9,587.3,1501.9,3558.7
"14. Industri Mesin, Elektronik, Instrumen Kedokteran, Peralatan Listrik, Presisi, Optik dan Jam",57.6,186.8,37.6,217.8,499.8
15. Industri Kendaraan Bermotor dan Alat Transportasi Lain,79.1,332.8,85.3,256.9,754
16. Industri Lainnya,51.3,40.6,60.8,92.6,245.3
"17. Listrik, Gas, dan Air",1526.4,1350.5,1554,1490.3,5921.2
18. Konstruksi,18.9,32.6,74.2,35.9,161.6
19. Perdagangan dan Reparasi,98.7,163.7,72.8,86.1,421.2
20. Hotel dan Restoran,159.6,115.8,235.6,114.9,625.9
"21. Transportasi, Gudang, dan Telekomunikasi",1641.9,949.8,1842.6,293.5,4727.8
"22. Perumahan, Kawasan Industri, dan Perkantoran",949.6,621.4,681.8,635.8,2888.5
23. Jasa Lainnya,90,213.2,128.3,186.4,617.9
JUMLAH,7194.4,6992.3,7001.3,7020.7,28208.8
